datetime,open,high,low,close,vol
2015-01-06 12:00:00,2997,2997,2987,2987,6283
2015-01-06 12:10:00,2987,2990,2984,2984,5308
2015-01-06 12:20:00,2984,2989,2981,2987,6539
2015-01-06 12:30:00,2986,2992,2984,2989,4584
2015-01-06 12:40:00,2989,2989,2983,2989,3711
2015-01-06 12:50:00,2989,2997,2988,2997,5183
2015-01-06 13:00:00,2997,2998,2994,2996,3388
2015-01-06 13:10:00,2996,2996,2989,2991,3069
2015-01-06 13:20:00,2992,2998,2992,2998,3753
2015-01-06 13:30:00,2998,3003,2995,3002,3846
2015-01-06 13:40:00,3001,3011,3001,3009,4586
2015-01-06 13:50:00,3009,3012,3004,3006,4331
2015-01-06 14:00:00,3006,3008,3003,3006,2384
2015-01-06 14:10:00,3006,3010,3004,3009,3702
2015-01-06 14:20:00,3010,3014,3007,3013,3841
2015-01-06 14:30:00,3013,3015,3008,3008,6022
2015-01-06 14:40:00,3008,3012,3006,3010,3218
2015-01-06 14:50:00,3010,3011,2994,2995,5578
2015-01-07 01:00:00,3013,3018,3010,3016,9086
2015-01-07 01:10:00,3016,3023,3015,3017,6383
2015-01-07 01:20:00,3017,3018,3013,3015,2003
2015-01-07 01:30:00,3014,3018,3014,3016,3066
2015-01-07 01:40:00,3017,3022,3017,3017,3843
2015-01-07 01:50:00,3017,3022,3015,3019,8632
2015-01-07 02:00:00,3019,3020,3005,3006,38935
2015-01-07 02:10:00,3006,3016,3006,3016,25375
2015-01-07 02:20:00,3015,3026,3014,3020,23262
2015-01-07 02:30:00,3019,3029,3017,3021,27221
2015-01-07 02:40:00,3022,3025,3019,3021,16955
2015-01-07 02:50:00,3021,3025,3018,3024,9863
2015-01-07 03:00:00,3024,3029,3018,3019,16425
2015-01-07 03:10:00,3020,3021,3012,3015,13799
2015-01-07 03:20:00,3015,3016,3004,3005,23185
2015-01-07 03:30:00,3004,3011,2994,3008,26461
2015-01-07 03:40:00,3008,3016,3004,3012,17150
2015-01-07 03:50:00,3013,3016,3011,3014,9498
2015-01-07 04:00:00,3014,3025,3012,3016,20814
2015-01-07 04:10:00,3016,3024,3015,3023,9350
2015-01-07 04:20:00,3023,3037,3023,3037,25015
2015-01-07 04:30:00,3038,3040,3031,3034,21264
2015-01-07 04:40:00,3033,3043,3032,3040,12801
2015-01-07 04:50:00,3040,3051,3040,3047,28506
2015-01-07 05:00:00,3046,3048,3042,3043,9754
2015-01-07 05:10:00,3043,3047,3041,3043,9147
2015-01-07 05:20:00,3042,3046,3041,3042,6375
2015-01-07 05:30:00,3043,3045,3034,3042,16571
2015-01-07 05:40:00,3041,3042,3036,3041,4839
2015-01-07 05:50:00,3041,3041,3035,3037,9190
2015-01-07 06:00:00,3037,3048,3036,3047,11681
2015-01-07 06:10:00,3047,3048,3039,3042,7153
2015-01-07 06:20:00,3042,3043,3037,3039,5077
2015-01-07 06:30:00,3039,3040,3034,3038,7505
2015-01-07 06:40:00,3038,3042,3036,3037,5908
2015-01-07 06:50:00,3037,3045,3036,3044,5338
2015-01-07 07:00:00,3045,3048,3043,3047,8775
2015-01-07 07:10:00,3048,3049,3042,3045,8003
2015-01-07 07:20:00,3046,3049,3045,3047,4526
2015-01-07 07:30:00,3047,3047,3039,3042,7293
2015-01-07 07:40:00,3042,3042,3037,3039,7036
2015-01-07 07:50:00,3039,3041,3037,3039,4687
2015-01-07 08:00:00,3038,3045,3038,3044,12106
2015-01-07 08:10:00,3044,3046,3040,3041,7085
2015-01-07 08:20:00,3041,3042,3035,3037,10154
2015-01-07 08:30:00,3036,3043,3031,3038,24763
2015-01-07 08:40:00,3039,3042,3035,3037,9609
2015-01-07 08:50:00,3037,3045,3036,3044,17224
2015-01-07 09:00:00,3043,3046,3038,3042,14352
2015-01-07 09:10:00,3042,3042,3032,3039,17612
2015-01-07 09:20:00,3040,3042,3034,3039,15732
2015-01-07 09:30:00,3038,3040,3031,3031,16787
2015-01-07 09:40:00,3032,3032,3025,3029,22816
2015-01-07 09:50:00,3028,3032,3027,3028,10895
2015-01-07 10:00:00,3029,3034,3021,3023,18751
2015-01-07 10:10:00,3024,3025,3014,3018,22894
2015-01-07 10:20:00,3017,3020,3009,3014,30987
2015-01-07 10:30:00,3016,3021,3012,3018,52491
2015-01-07 10:40:00,3017,3023,3016,3022,11854
2015-01-07 10:50:00,3023,3045,3020,3045,45465
2015-01-07 11:00:00,3044,3050,3041,3045,28397
2015-01-07 11:10:00,3046,3049,3042,3049,12565
2015-01-07 11:20:00,3049,3057,3048,3053,18493
2015-01-07 11:30:00,3054,3056,3049,3051,6880
2015-01-07 11:40:00,3051,3052,3046,3048,3528
2015-01-07 11:50:00,3048,3049,3046,3047,3207
2015-01-07 12:00:00,3047,3050,3045,3045,2042
2015-01-07 12:10:00,3045,3052,3044,3049,4071
2015-01-07 12:20:00,3049,3049,3043,3044,2931
2015-01-07 12:30:00,3044,3049,3044,3047,1766
2015-01-07 12:40:00,3047,3056,3045,3055,6166
2015-01-07 12:50:00,3055,3057,3052,3053,6080
2015-01-07 13:00:00,3052,3056,3047,3055,6217
2015-01-07 13:10:00,3055,3056,3049,3051,2313
2015-01-07 13:20:00,3052,3054,3049,3051,2862
2015-01-07 13:30:00,3051,3057,3051,3053,3030
2015-01-07 13:40:00,3052,3053,3050,3053,3053
2015-01-07 13:50:00,3052,3052,3046,3047,2120
2015-01-07 14:00:00,3047,3052,3047,3052,2378
2015-01-07 14:10:00,3052,3052,3047,3051,1489
2015-01-07 14:20:00,3050,3051,3047,3051,1679
2015-01-07 14:30:00,3051,3052,3048,3049,1348
2015-01-07 14:40:00,3049,3053,3049,3052,3752
2015-01-07 14:50:00,3052,3053,3048,3052,7534
2015-01-08 01:00:00,3072,3079,3067,3069,13702
2015-01-08 01:10:00,3070,3072,3067,3070,3761
2015-01-08 01:20:00,3070,3072,3070,3071,3092
2015-01-08 01:30:00,3071,3073,3067,3068,7342
2015-01-08 01:40:00,3069,3069,3066,3067,2779
2015-01-08 01:50:00,3068,3072,3066,3071,6418
2015-01-08 02:00:00,3072,3073,3060,3065,36160
2015-01-08 02:10:00,3066,3066,3055,3063,32440
2015-01-08 02:20:00,3063,3069,3059,3064,19058
2015-01-08 02:30:00,3064,3070,3063,3065,14329
2015-01-08 02:40:00,3065,3066,3062,3065,14956
2015-01-08 02:50:00,3065,3065,3059,3061,13966
2015-01-08 03:00:00,3060,3067,3058,3066,11842
2015-01-08 03:10:00,3066,3068,3062,3064,10315
2015-01-08 03:20:00,3064,3064,3056,3058,10523
2015-01-08 03:30:00,3057,3059,3053,3055,8945
2015-01-08 03:40:00,3056,3059,3054,3059,11817
2015-01-08 03:50:00,3058,3060,3057,3059,3500
2015-01-08 04:00:00,3060,3065,3058,3064,6759
2015-01-08 04:10:00,3065,3067,3062,3062,7824
2015-01-08 04:20:00,3063,3064,3056,3058,5496
2015-01-08 04:30:00,3058,3064,3057,3063,6369
2015-01-08 04:40:00,3063,3064,3061,3062,3646
2015-01-08 04:50:00,3062,3071,3062,3069,9486
