datetime,open,high,low,close,vol
2015-02-25 09:15:00,16.51,16.51,16.495,16.5,9
2015-02-25 09:05:00,16.495,16.52,16.465,16.515,470
2015-02-25 08:55:00,16.495,16.51,16.48,16.5,225
2015-02-25 08:45:00,16.5,16.51,16.475,16.495,321
2015-02-25 08:35:00,16.52,16.525,16.47,16.505,575
2015-02-25 08:25:00,16.51,16.53,16.51,16.52,131
2015-02-25 08:15:00,16.51,16.515,16.49,16.51,159
2015-02-25 08:05:00,16.49,16.515,16.455,16.51,602
2015-02-25 07:55:00,16.545,16.555,16.465,16.49,1218
2015-02-25 07:45:00,16.54,16.55,16.515,16.54,362
2015-02-25 07:35:00,16.58,16.58,16.535,16.54,268
2015-02-25 07:25:00,16.59,16.625,16.565,16.58,508
2015-02-25 07:20:00,16.61,16.61,16.585,16.595,133
2015-02-25 07:10:00,16.59,16.63,16.585,16.615,280
2015-02-25 07:00:00,16.545,16.6,16.54,16.595,344
2015-02-25 06:50:00,16.515,16.545,16.51,16.54,67
2015-02-25 06:40:00,16.525,16.54,16.515,16.515,59
2015-02-25 06:30:00,16.535,16.535,16.505,16.525,185
2015-02-25 06:20:00,16.545,16.55,16.53,16.54,71
2015-02-25 06:10:00,16.565,16.575,16.535,16.545,128
2015-02-25 06:00:00,16.475,16.575,16.47,16.57,447
2015-02-25 05:50:00,16.5,16.5,16.48,16.48,70
2015-02-25 05:40:00,16.495,16.5,16.465,16.495,104
2015-02-25 05:30:00,16.515,16.52,16.5,16.5,70
2015-02-25 05:20:00,16.525,16.53,16.51,16.515,34
2015-02-25 05:10:00,16.505,16.535,16.5,16.53,58
2015-02-25 05:00:00,16.47,16.5,16.47,16.5,56
2015-02-25 04:50:00,16.47,16.475,16.455,16.47,29
2015-02-25 04:40:00,16.475,16.485,16.475,16.475,10
2015-02-25 04:30:00,16.455,16.48,16.445,16.47,99
2015-02-25 04:20:00,16.45,16.46,16.45,16.46,54
2015-02-25 04:10:00,16.465,16.465,16.45,16.45,37
2015-02-25 04:00:00,16.47,16.475,16.46,16.465,40
2015-02-25 03:50:00,16.485,16.49,16.475,16.475,37
2015-02-25 03:40:00,16.495,16.495,16.47,16.48,53
2015-02-25 03:30:00,16.495,16.5,16.485,16.495,139
2015-02-25 03:20:00,16.47,16.505,16.47,16.495,72
2015-02-25 03:10:00,16.475,16.49,16.47,16.47,51
2015-02-25 03:00:00,16.49,16.51,16.45,16.47,333
2015-02-25 02:50:00,16.515,16.52,16.495,16.495,76
2015-02-25 02:40:00,16.53,16.53,16.51,16.515,29
2015-02-25 02:30:00,16.5,16.54,16.5,16.53,61
2015-02-25 02:20:00,16.49,16.505,16.48,16.5,96
2015-02-25 02:10:00,16.5,16.505,16.49,16.495,30
2015-02-25 02:00:00,16.515,16.52,16.49,16.5,100
2015-02-25 01:50:00,16.49,16.52,16.49,16.515,56
2015-02-25 01:40:00,16.495,16.515,16.485,16.49,104
2015-02-25 01:30:00,16.545,16.545,16.495,16.495,82
2015-02-25 01:20:00,16.55,16.565,16.545,16.55,138
