datetime,open,high,low,close,vol
2015-02-25 09:10:00,128195,128220,128190,128210,17736
2015-02-25 09:00:00,128205,128220,128190,128200,28741
2015-02-25 08:50:00,128185,128210,128180,128205,18049
2015-02-25 08:40:00,128205,128210,128185,128190,16125
2015-02-25 08:30:00,128195,128215,128195,128205,16466
2015-02-25 08:20:00,128185,128205,128180,128195,15721
2015-02-25 08:10:00,128205,128210,128180,128185,16771
2015-02-25 08:00:00,128200,128215,128200,128205,8103
2015-02-25 07:50:00,128190,128205,128185,128205,19441
2015-02-25 07:40:00,128210,128210,128175,128190,23518
2015-02-25 07:30:00,128220,128230,128205,128210,14580
2015-02-25 07:20:00,128240,128245,128215,128225,10635
2015-02-25 07:10:00,128230,128250,128230,128240,8006
2015-02-25 07:00:00,128220,128235,128210,128230,10565
2015-02-25 06:50:00,128225,128230,128215,128220,5205
2015-02-25 06:40:00,128235,128240,128225,128225,5183
2015-02-25 06:30:00,128235,128235,128220,128235,9324
2015-02-25 06:20:00,128245,128250,128230,128230,3017
2015-02-25 06:10:00,128250,128250,128235,128245,2806
2015-02-25 06:00:00,128235,128250,128230,128245,5161
2015-02-25 05:50:00,128235,128245,128230,128240,3816
2015-02-25 05:40:00,128245,128245,128235,128235,4411
2015-02-25 05:30:00,128260,128265,128240,128245,4876
2015-02-25 05:20:00,128250,128265,128250,128265,3575
2015-02-25 05:10:00,128265,128270,128250,128250,2720
2015-02-25 05:00:00,128265,128265,128255,128265,4456
2015-02-25 04:50:00,128270,128275,128265,128265,2807
2015-02-25 04:40:00,128280,128280,128270,128275,3854
2015-02-25 04:30:00,128255,128280,128255,128280,5084
2015-02-25 04:20:00,128265,128270,128250,128260,5715
2015-02-25 04:10:00,128265,128275,128265,128265,4340
2015-02-25 04:00:00,128280,128280,128265,128265,2361
2015-02-25 03:50:00,128265,128280,128265,128275,4992
2015-02-25 03:40:00,128280,128280,128265,128265,6506
2015-02-25 03:30:00,128280,128285,128270,128280,8194
2015-02-25 03:20:00,128255,128280,128255,128280,9932
2015-02-25 03:10:00,128235,128255,128235,128255,3032
2015-02-25 03:00:00,128260,128260,128240,128240,4715
2015-02-25 02:50:00,128230,128260,128230,128255,8784
2015-02-25 02:40:00,128225,128235,128225,128230,1509
2015-02-25 02:30:00,128210,128235,128210,128230,5365
2015-02-25 02:20:00,128210,128215,128200,128205,5999
2015-02-25 02:10:00,128220,128230,128210,128210,8889
2015-02-25 02:00:00,128225,128230,128205,128215,5317
2015-02-25 01:50:00,128205,128235,128205,128230,4526
2015-02-25 01:40:00,128240,128245,128205,128205,7477
2015-02-25 01:30:00,128235,128245,128230,128240,2821
2015-02-25 01:20:00,128215,128235,128215,128230,5636
2015-02-25 01:10:00,128210,128215,128210,128215,1294
2015-02-25 01:00:00,128210,128215,128210,128210,1588
2015-02-25 00:50:00,128210,128210,128205,128205,719
2015-02-25 00:40:00,128205,128205,128205,128205,587
2015-02-25 00:30:00,128210,128215,128205,128205,1868
2015-02-25 00:20:00,128215,128215,128205,128210,705
2015-02-25 00:10:00,128215,128220,128210,128215,831
2015-02-25 00:00:00,128210,128215,128205,128215,154
2015-02-24 23:50:00,128210,128210,128205,128210,766
2015-02-24 23:40:00,128210,128210,128205,128205,343
2015-02-24 23:30:00,128215,128220,128210,128210,425
2015-02-24 23:20:00,128210,128215,128210,128215,531
2015-02-24 23:10:00,128210,128215,128210,128210,638
2015-02-24 23:00:00,128210,128210,128210,128210,103
2015-02-24 22:50:00,128205,128210,128200,128210,120
2015-02-24 22:40:00,128205,128210,128205,128210,192
2015-02-24 22:30:00,128210,128215,128205,128205,269
2015-02-24 22:20:00,128210,128210,128205,128210,227
2015-02-24 22:10:00,128210,128210,128205,128210,331
2015-02-24 22:00:00,128205,128215,128200,128215,1134
2015-02-24 21:50:00,128205,128205,128200,128205,707
2015-02-24 21:40:00,128210,128210,128205,128210,14
