datetime,open,high,low,close,vol
2015-01-30 09:45:00,  17385 ,  17387 ,  17376 ,  17381 ,    1091 
2015-01-30 10:00:00,  17381 ,  17383 ,  17373 ,  17378 ,     236 
2015-01-30 10:15:00,  17380 ,  17389 ,  17377 ,  17388 ,     430 
2015-01-30 10:30:00,  17386 ,  17387 ,  17381 ,  17387 ,    1208 
2015-01-30 10:45:00,  17386 ,  17388 ,  17377 ,  17379 ,    1074 
2015-01-30 11:00:00,  17379 ,  17381 ,  17375 ,  17377 ,    2086 
2015-01-30 11:15:00,  17380 ,  17384 ,  17378 ,  17382 ,     992 
2015-01-30 11:30:00,  17383 ,  17392 ,  17383 ,  17385 ,     785 
2015-01-30 11:45:00,  17386 ,  17387 ,  17375 ,  17375 ,    1641 
2015-01-30 12:00:00,  17376 ,  17376 ,  17365 ,  17369 ,     569 
2015-01-30 12:15:00,  17368 ,  17368 ,  17361 ,  17364 ,    1674 
2015-01-30 12:30:00,  17364 ,  17370 ,  17364 ,  17369 ,    1523 
2015-01-30 12:45:00,  17369 ,  17377 ,  17368 ,  17374 ,     793 
2015-01-30 13:00:00,  17376 ,  17383 ,  17367 ,  17371 ,     359 
2015-01-30 13:15:00,  17371 ,  17376 ,  17370 ,  17373 ,     364 
2015-01-30 13:30:00,  17374 ,  17384 ,  17371 ,  17373 ,     166 
2015-01-30 13:45:00,  17372 ,  17380 ,  17370 ,  17377 ,     234 
2015-01-30 14:00:00,  17374 ,  17382 ,  17373 ,  17374 ,      41 
2015-01-30 14:15:00,  17373 ,  17382 ,  17371 ,  17379 ,     204 
2015-01-30 14:30:00,  17379 ,  17387 ,  17377 ,  17387 ,     305 
2015-01-30 14:45:00,  17386 ,  17391 ,  17383 ,  17384 ,     376 
2015-01-30 15:00:00,  17385 ,  17385 ,  17366 ,  17373 ,      96 
2015-01-30 15:15:00,  17372 ,  17376 ,  17369 ,  17373 ,      71 
2015-01-30 15:30:00,  17375 ,  17388 ,  17371 ,  17386 ,      40 
2015-01-30 15:45:00,  17387 ,  17388 ,  17369 ,  17369 ,     148 
