datetime,open,high,low,close,vol
2014-11-21 13:00:00,  17295 ,  17420 ,  17285 ,  17395 ,    1091 
2014-11-21 14:00:00,  17385 ,  17425 ,  17370 ,  17385 ,     236 
2014-11-21 15:00:00,  17385 ,  17415 ,  17335 ,  17350 ,     430 
2014-11-21 16:00:00,  17350 ,  17465 ,  17330 ,  17460 ,    1208 
2014-11-21 17:00:00,  17460 ,  17485 ,  17385 ,  17420 ,    1074 
2014-11-21 18:00:00,  17415 ,  17540 ,  17405 ,  17530 ,    2086 
2014-11-21 19:00:00,  17530 ,  17565 ,  17485 ,  17545 ,     992 
2014-11-21 20:00:00,  17545 ,  17565 ,  17535 ,  17555 ,     785 
2014-11-21 21:00:00,  17555 ,  17560 ,  17510 ,  17520 ,    1641 
2014-11-21 22:00:00,  17520 ,  17540 ,  17510 ,  17535 ,     569 
2014-11-21 22:30:00,  17540 ,  17540 ,  17455 ,  17455 ,    1674 
2014-11-21 23:30:00,  17455 ,  17470 ,  17390 ,  17445 ,    1523 
2014-11-22 00:30:00,  17450 ,  17465 ,  17405 ,  17415 ,     793 
2014-11-22 01:30:00,  17420 ,  17450 ,  17390 ,  17395 ,     359 
2014-11-22 02:30:00,  17385 ,  17460 ,  17385 ,  17400 ,     364 
2014-11-22 03:30:00,  17400 ,  17455 ,  17390 ,  17450 ,     166 
2014-11-22 04:30:00,  17450 ,  17460 ,  17405 ,  17425 ,     234 
2014-11-22 05:15:00,  17430 ,  17445 ,  17430 ,  17440 ,      41 
2014-11-24 07:00:00,  17455 ,  17495 ,  17335 ,  17375 ,     204 
2014-11-24 08:00:00,  17380 ,  17420 ,  17330 ,  17405 ,     305 
2014-11-24 09:00:00,  17395 ,  17460 ,  17370 ,  17395 ,     376 
2014-11-24 10:00:00,  17395 ,  17440 ,  17395 ,  17420 ,      96 
2014-11-24 11:00:00,  17410 ,  17420 ,  17405 ,  17420 ,      71 
2014-11-24 12:00:00,  17420 ,  17430 ,  17410 ,  17420 ,      40 
2014-11-24 13:00:00,  17410 ,  17485 ,  17410 ,  17480 ,     148 
2014-11-24 14:00:00,  17470 ,  17470 ,  17375 ,  17400 ,     244 
2014-11-24 15:00:00,  17410 ,  17450 ,  17410 ,  17445 ,     142 
2014-11-24 16:00:00,  17445 ,  17550 ,  17425 ,  17545 ,     404 
2014-11-24 17:00:00,  17550 ,  17575 ,  17520 ,  17530 ,     400 
2014-11-24 18:00:00,  17535 ,  17565 ,  17530 ,  17550 ,     146 
2014-11-24 19:00:00,  17555 ,  17555 ,  17515 ,  17530 ,     315 
2014-11-24 20:00:00,  17535 ,  17555 ,  17535 ,  17545 ,     132 
2014-11-24 21:00:00,  17545 ,  17560 ,  17530 ,  17560 ,     166 
2014-11-24 22:00:00,  17560 ,  17565 ,  17550 ,  17550 ,     122 
2014-11-24 22:30:00,  17555 ,  17605 ,  17520 ,  17570 ,     862 
2014-11-24 23:30:00,  17570 ,  17575 ,  17510 ,  17515 ,     280 
2014-11-25 00:30:00,  17515 ,  17560 ,  17515 ,  17555 ,     119 
2014-11-25 01:30:00,  17555 ,  17555 ,  17545 ,  17545 ,     131 
