datetime,open,high,low,close,vol
2014-11-27 08:15:00, 16.545 , 16.550 , 16.540 , 16.540 ,      0.39 
2014-11-27 08:30:00, 16.545 , 16.555 , 16.540 , 16.545 ,      0.34 
2014-11-27 08:45:00, 16.540 , 16.550 , 16.535 , 16.550 ,      0.29 
2014-11-27 09:00:00, 16.550 , 16.575 , 16.550 , 16.560 ,      0.28 
2014-11-27 09:15:00, 16.565 , 16.565 , 16.555 , 16.555 ,      0.26 
2014-11-27 09:30:00, 16.555 , 16.555 , 16.515 , 16.550 ,      0.24 
2014-11-27 09:45:00, 16.555 , 16.560 , 16.535 , 16.535 ,      0.24 
2014-11-27 10:00:00, 16.535 , 16.545 , 16.530 , 16.540 ,      0.25 
2014-11-27 10:15:00, 16.540 , 16.540 , 16.530 , 16.535 ,      0.24 
2014-11-27 10:30:00, 16.530 , 16.530 , 16.520 , 16.525 ,      0.21 
2014-11-27 10:45:00, 16.520 , 16.525 , 16.430 , 16.430 ,      0.20 
2014-11-27 11:00:00, 16.430 , 16.450 , 16.385 , 16.395 ,      0.22 
2014-11-27 11:15:00, 16.395 , 16.395 , 16.320 , 16.350 ,      0.20 
2014-11-27 11:30:00, 16.345 , 16.390 , 16.345 , 16.375 ,      0.20 
2014-11-27 11:45:00, 16.375 , 16.375 , 16.345 , 16.345 ,      0.20 
2014-11-27 12:00:00, 16.340 , 16.350 , 16.325 , 16.325 ,      0.19 
2014-11-27 12:15:00, 16.320 , 16.320 , 16.170 , 16.225 ,      0.30 
2014-11-27 12:30:00, 16.220 , 16.260 , 16.165 , 16.210 ,      0.31 
2014-11-27 12:45:00, 16.215 , 16.280 , 16.215 , 16.240 ,      0.32 
2014-11-27 13:00:00, 16.230 , 16.275 , 16.230 , 16.265 ,      0.31 
2014-11-27 13:15:00, 16.265 , 16.335 , 16.255 , 16.300 ,      0.31 
2014-11-27 13:30:00, 16.305 , 16.340 , 16.305 , 16.325 ,      0.35 
2014-11-27 13:45:00, 16.320 , 16.335 , 16.285 , 16.330 ,      0.37 
2014-11-27 14:00:00, 16.325 , 16.370 , 16.320 , 16.340 ,      0.40 
2014-11-27 14:15:00, 16.340 , 16.350 , 16.320 , 16.350 ,      0.39 
2014-11-27 14:30:00, 16.355 , 16.395 , 16.345 , 16.395 ,      0.39 
2014-11-27 14:45:00, 16.395 , 16.435 , 16.390 , 16.425 ,      0.41 
2014-11-27 15:00:00, 16.425 , 16.470 , 16.425 , 16.430 ,      0.40 
2014-11-27 15:15:00, 16.430 , 16.445 , 16.385 , 16.385 ,      0.44 
2014-11-27 15:30:00, 16.390 , 16.405 , 16.350 , 16.355 ,      0.44 
2014-11-27 15:45:00, 16.360 , 16.420 , 16.355 , 16.420 ,      0.46 
2014-11-27 16:00:00, 16.420 , 16.420 , 16.380 , 16.390 ,      0.45 
2014-11-27 16:15:00, 16.390 , 16.420 , 16.380 , 16.420 ,      0.45 
2014-11-27 16:30:00, 16.420 , 16.420 , 16.395 , 16.395 ,      0.46 
2014-11-27 16:45:00, 16.395 , 16.405 , 16.370 , 16.395 ,      0.46 
2014-11-27 17:00:00, 16.400 , 16.410 , 16.375 , 16.400 ,      0.48 
2014-11-27 17:15:00, 16.400 , 16.425 , 16.395 , 16.410 ,      0.48 
2014-11-27 17:30:00, 16.405 , 16.425 , 16.395 , 16.405 ,      0.46 
2014-11-27 17:45:00, 16.400 , 16.410 , 16.400 , 16.410 ,      0.46 
2014-11-27 18:00:00, 16.400 , 16.420 , 16.400 , 16.415 ,      0.48 
2014-11-27 18:15:00, 16.420 , 16.420 , 16.375 , 16.380 ,      0.49 
2014-11-27 18:30:00, 16.380 , 16.430 , 16.380 , 16.420 ,      0.50 
2014-11-27 18:45:00, 16.420 , 16.430 , 16.410 , 16.410 ,      0.50 
2014-11-27 19:00:00, 16.405 , 16.420 , 16.405 , 16.410 ,      0.50 
2014-11-27 19:15:00, 16.415 , 16.435 , 16.405 , 16.430 ,      0.50 
2014-11-27 19:30:00, 16.430 , 16.475 , 16.430 , 16.455 ,      0.50 
2014-11-27 19:45:00, 16.455 , 16.455 , 16.420 , 16.420 ,      0.46 
2014-11-27 20:00:00, 16.425 , 16.425 , 16.405 , 16.410 ,      0.47 
2014-11-27 20:15:00, 16.410 , 16.420 , 16.405 , 16.405 ,      0.46 
2014-11-27 20:30:00, 16.410 , 16.415 , 16.405 , 16.415 ,      0.48 
2014-11-27 20:45:00, 16.415 , 16.415 , 16.385 , 16.390 ,      0.47 
2014-11-27 21:00:00, 16.390 , 16.390 , 16.355 , 16.355 ,      0.45 
2014-11-27 21:15:00, 16.350 , 16.360 , 16.305 , 16.330 ,      0.40 
2014-11-27 21:30:00, 16.330 , 16.360 , 16.325 , 16.360 ,      0.38 
2014-11-27 21:45:00, 16.360 , 16.375 , 16.340 , 16.360 ,      0.38 
2014-11-27 22:00:00, 16.365 , 16.375 , 16.350 , 16.375 ,      0.38 
2014-11-27 22:15:00, 16.370 , 16.390 , 16.360 , 16.380 ,      0.36 
2014-11-27 22:30:00, 16.380 , 16.380 , 16.320 , 16.345 ,      0.36 
