datetime,open,high,low,close,vol
2014-11-21 13:00:00,8490,8496,8478,8485,8810
2014-11-21 14:00:00,8485,8496,8474,8489,3676
2014-11-21 15:00:00,8490,8507,8485,8506,7021
2014-11-21 16:00:00,8507,8512,8476,8477,17940
2014-11-21 17:00:00,8477,8504,8466,8493,20100
2014-11-21 18:00:00,8493,8501,8478,8480,14619
2014-11-21 19:00:00,8480,8493,8468,8475,8968
2014-11-21 20:00:00,8475,8484,8470,8477,8156
2014-11-21 21:00:00,8477,8489,8476,8486,10193
2014-11-21 22:00:00,8485,8493,8482,8487,6364
2014-11-21 22:30:00,8487,8505,8487,8503,11545
2014-11-21 23:30:00,8502,8520,8500,8506,20814
2014-11-22 00:30:00,8505,8505,8489,8494,8150
2014-11-22 01:30:00,8494,8496,8478,8490,5868
2014-11-22 02:30:00,8489,8496,8486,8496,4270
2014-11-22 03:30:00,8496,8497,8488,8495,3503
2014-11-22 04:30:00,8495,8498,8492,8495,1522
2014-11-22 05:15:00,8495,8495,8484,8488,576
2014-11-24 07:00:00,8483,8495,8479,8491,2470
2014-11-24 08:00:00,8491,8506,8491,8499,3849
2014-11-24 09:00:00,8500,8502,8493,8497,2862
2014-11-24 10:00:00,8497,8497,8489,8491,1805
2014-11-24 11:00:00,8491,8496,8484,8485,2082
2014-11-24 12:00:00,8485,8488,8479,8483,1614
2014-11-24 13:00:00,8482,8485,8477,8478,1827
2014-11-24 14:00:00,8477,8489,8475,8487,2382
2014-11-24 15:00:00,8487,8488,8480,8481,2865
2014-11-24 16:00:00,8481,8487,8454,8458,11065
2014-11-24 17:00:00,8458,8466,8448,8461,9561
2014-11-24 18:00:00,8460,8460,8455,8457,2901
2014-11-24 19:00:00,8457,8463,8455,8457,3406
2014-11-24 20:00:00,8456,8461,8453,8455,3985
2014-11-24 21:00:00,8454,8463,8450,8454,5624
2014-11-24 22:00:00,8455,8457,8451,8453,1968
2014-11-24 22:30:00,8452,8455,8440,8443,12168
2014-11-24 23:30:00,8444,8458,8441,8456,8062
2014-11-25 00:30:00,8457,8457,8443,8443,4254
2014-11-25 01:30:00,8444,8452,8444,8451,2946
2014-11-25 02:30:00,8451,8458,8448,8454,3011
2014-11-25 03:30:00,8455,8457,8452,8455,1701
2014-11-25 04:30:00,8456,8460,8455,8458,1437
2014-11-25 05:15:00,8458,8458,8454,8457,384
2014-11-25 07:00:00,8452,8457,8433,8442,2705
2014-11-25 08:00:00,8443,8471,8443,8467,10718
2014-11-25 09:00:00,8467,8491,8465,8468,13884
2014-11-25 10:00:00,8468,8477,8463,8474,5303
2014-11-25 11:00:00,8474,8488,8474,8486,6448
2014-11-25 12:00:00,8486,8487,8472,8479,3077
2014-11-25 13:00:00,8479,8488,8479,8486,3461
2014-11-25 14:00:00,8486,8486,8477,8485,2575
2014-11-25 15:00:00,8484,8498,8471,8479,8696
2014-11-25 16:00:00,8480,8483,8471,8474,5641
2014-11-25 17:00:00,8474,8475,8461,8466,5390
2014-11-25 18:00:00,8465,8468,8461,8463,3845
2014-11-25 19:00:00,8463,8475,8462,8473,3724
2014-11-25 20:00:00,8473,8481,8466,8472,5003
2014-11-25 21:00:00,8472,8476,8431,8463,13898
2014-11-25 22:00:00,8463,8471,8461,8471,3428
2014-11-25 22:30:00,8471,8490,8469,8476,22098
2014-11-25 23:30:00,8476,8489,8473,8478,10853
2014-11-26 00:30:00,8478,8482,8473,8477,7227
2014-11-26 01:30:00,8477,8487,8476,8485,5225
2014-11-26 02:30:00,8486,8496,8484,8486,5587
2014-11-26 03:30:00,8486,8488,8478,8480,3381
2014-11-26 04:30:00,8480,8481,8477,8479,1658
2014-11-26 05:15:00,8478,8479,8475,8478,954
2014-11-26 07:00:00,8481,8490,8480,8489,1044
2014-11-26 08:00:00,8490,8494,8485,8488,5181
2014-11-26 09:00:00,8488,8500,8488,8492,3962
2014-11-26 10:00:00,8492,8494,8484,8490,2422
2014-11-26 11:00:00,8490,8493,8485,8486,1371
2014-11-26 12:00:00,8485,8490,8485,8488,1638
2014-11-26 13:00:00,8488,8493,8485,8492,2037
2014-11-26 14:00:00,8492,8499,8490,8492,3262
2014-11-26 15:00:00,8492,8505,8492,8493,6394
2014-11-26 16:00:00,8494,8499,8482,8487,6865
2014-11-26 17:00:00,8487,8495,8483,8489,5331
2014-11-26 18:00:00,8489,8496,8486,8493,4901
2014-11-26 19:00:00,8492,8496,8488,8493,4060
2014-11-26 20:00:00,8493,8499,8491,8497,5299
2014-11-26 21:00:00,8497,8505,8487,8495,12964
2014-11-26 22:00:00,8495,8497,8493,8495,2956
2014-11-26 22:30:00,8495,8513,8493,8507,15668
2014-11-26 23:30:00,8508,8516,8501,8507,10971
2014-11-27 00:30:00,8507,8510,8500,8501,4006
2014-11-27 01:30:00,8501,8505,8487,8492,5954
2014-11-27 02:30:00,8493,8495,8489,8491,3289
2014-11-27 03:30:00,8491,8497,8490,8494,2830
2014-11-27 04:30:00,8494,8496,8492,8496,1724
2014-11-27 05:15:00,8496,8497,8492,8493,586
2014-11-27 07:00:00,8505,8505,8497,8502,1204
2014-11-27 08:00:00,8502,8512,8498,8509,4466
2014-11-27 09:00:00,8510,8511,8504,8507,2105
2014-11-27 10:00:00,8508,8511,8503,8508,2128
2014-11-27 11:00:00,8509,8524,8507,8521,6899
2014-11-27 12:00:00,8521,8529,8515,8525,5607
2014-11-27 13:00:00,8526,8526,8518,8524,2562
2014-11-27 14:00:00,8524,8528,8516,8517,2281
2014-11-27 15:00:00,8516,8531,8516,8522,3845
2014-11-27 16:00:00,8522,8524,8512,8514,3104
2014-11-27 17:00:00,8514,8518,8506,8514,2483
2014-11-27 18:00:00,8513,8514,8508,8510,1167
2014-11-27 19:00:00,8510,8514,8509,8512,904
2014-11-27 20:00:00,8512,8517,8511,8511,885
2014-11-27 21:00:00,8511,8512,8505,8510,2285
2014-11-27 22:00:00,8510,8510,8506,8507,394
