"datetime","open.x","high.x","low.x","close.x","vol.x","open.y","high.y","low.y","close.y","vol.y"
"2012-09-18 09:05:00",361.2,361.5,360.9,361.13,4626,7275,7275,7223,7229,30596
"2012-09-18 09:10:00",361.14,361.24,360.62,360.96,2216,7227,7237,7220,7229,18004
"2012-09-18 09:15:00",360.96,361.22,360.84,361.21,1786,7228,7240,7226,7239,13694
"2012-09-18 09:20:00",361.2,361.4,361.16,361.22,1530,7237,7245,7235,7239,10524
"2012-09-18 09:25:00",361.22,361.4,361.11,361.35,846,7239,7256,7239,7256,7496
"2012-09-18 09:30:00",361.35,361.36,361.2,361.27,606,7255,7257,7242,7243,4712
"2012-09-18 09:35:00",361.27,361.3,361.1,361.22,760,7243,7251,7241,7250,3884
"2012-09-18 09:40:00",361.26,361.32,361.18,361.28,868,7250,7253,7246,7253,2546
"2012-09-18 09:45:00",361.26,361.33,361.18,361.27,664,7253,7256,7249,7255,3396
"2012-09-18 09:50:00",361.27,361.29,361.18,361.24,448,7254,7261,7251,7258,3902
"2012-09-18 09:55:00",361.23,361.27,361.2,361.23,204,7258,7258,7248,7253,3182
"2012-09-18 10:00:00",361.2,361.36,361.2,361.36,500,7252,7258,7250,7257,2936
"2012-09-18 10:05:00",361.35,361.58,361.32,361.53,1098,7257,7265,7256,7264,4526
"2012-09-18 10:10:00",361.52,361.55,361.26,361.35,704,7264,7268,7258,7260,5020
"2012-09-18 10:15:00",361.36,361.6,361.35,361.54,644,7261,7265,7258,7261,2480
"2012-09-18 10:35:00",361.57,361.93,361.53,361.68,1228,7263,7272,7262,7272,4094
"2012-09-18 10:40:00",361.68,361.69,361.56,361.59,514,7271,7272,7267,7268,2430
"2012-09-18 10:45:00",361.6,361.69,361.46,361.5,336,7269,7272,7264,7265,2562
"2012-09-18 10:50:00",361.5,361.64,361.44,361.45,406,7265,7268,7261,7262,2028
"2012-09-18 10:55:00",361.45,361.62,361.45,361.62,346,7261,7267,7261,7264,1144
"2012-09-18 11:00:00",361.62,361.66,361.6,361.6,366,7264,7267,7262,7266,1272
"2012-09-18 11:05:00",361.61,361.63,361.5,361.57,338,7265,7268,7263,7268,1916
"2012-09-18 11:10:00",361.53,361.62,361.51,361.57,240,7268,7270,7264,7267,1760
"2012-09-18 11:15:00",361.6,361.64,361.56,361.6,384,7268,7270,7265,7266,1312
"2012-09-18 11:20:00",361.53,361.71,361.53,361.61,324,7267,7279,7265,7279,5210
"2012-09-18 11:25:00",361.63,361.67,361.55,361.58,614,7278,7280,7274,7277,3278
"2012-09-18 11:30:00",361.58,361.62,361.38,361.43,916,7277,7281,7271,7275,3982
"2012-09-18 13:35:00",361.18,361.29,361.1,361.28,1118,7252,7263,7251,7256,10968
"2012-09-18 13:40:00",361.28,361.29,361.19,361.25,916,7257,7257,7237,7248,8226
"2012-09-18 13:45:00",361.27,361.29,361.18,361.24,248,7248,7252,7245,7250,2444
"2012-09-18 13:50:00",361.26,361.39,361.24,361.33,526,7251,7261,7249,7256,4220
"2012-09-18 13:55:00",361.31,361.37,361.22,361.29,234,7255,7257,7248,7249,2596
"2012-09-18 14:00:00",361.26,361.28,361.12,361.15,786,7249,7250,7246,7247,3818
"2012-09-18 14:05:00",361.15,361.15,360.64,360.97,2052,7248,7248,7232,7243,8314
"2012-09-18 14:10:00",360.97,361.11,360.93,360.99,682,7243,7248,7239,7240,2860
"2012-09-18 14:15:00",360.97,361.27,360.97,361.17,806,7239,7249,7237,7244,2968
"2012-09-18 14:20:00",361.16,361.24,361.06,361.11,560,7245,7251,7242,7246,3752
"2012-09-18 14:25:00",361.08,361.16,360.9,361.05,486,7246,7248,7240,7243,2488
"2012-09-18 14:30:00",361.04,361.05,360.95,361.02,202,7243,7245,7238,7244,2734
